,3 Step model,,,,,Soccer_ve_new_updated,,,,,,,,,,,,,,,0.924116054,,,,,0.941112899
0.302472456,0.298018436,0.399509108,,,0.755074042,0.10024118,0.144684778,,,-1,,3,,0,0,1,,0,0,-0.917518716,0.917518716,,0,0,-1.933197848,1.933197848
0.277007391,0.237833383,0.485159227,,,0.378410227,0.133502543,0.48808723,,,1,,1,,1,0,0,,-1.283711091,0,0,1.283711091,,-0.971776415,0,0,0.971776415
0.224148591,0.239973786,0.535877623,,,0.431882598,0.135229504,0.432887898,,,-1,,3,,0,0,1,,0,0,-0.623849459,0.623849459,,0,0,-0.837276481,0.837276481
0.691447848,0.178693142,0.129859011,,,0.695208905,0.107961658,0.196829437,,,1,,1,,1,0,0,,-0.368967549,0,0,0.368967549,,-0.363542896,0,0,0.363542896
0.296769208,0.331360443,0.371870349,,,0.325077149,0.142564946,0.532357906,,,1,,1,,1,0,0,,-1.21480052,0,0,1.21480052,,-1.123692743,0,0,1.123692743
0.099552353,0.183163383,0.717284264,,,0.441668648,0.140988691,0.417342661,,,1,,1,,1,0,0,,-2.307071612,0,0,2.307071612,,-0.817195343,0,0,0.817195343
0.787380227,0.137625308,0.074994465,,,0.975303594,0.015103927,0.009592479,,,1,,1,,1,0,0,,-0.239044013,0,0,0.239044013,,-0.025006478,0,0,0.025006478
0.86506316,0.104681669,0.030255171,,,0.97950083,0.012924531,0.00757464,,,1,,1,,1,0,0,,-0.144952757,0,0,0.144952757,,-0.020712194,0,0,0.020712194
0.632652698,0.215914292,0.15143301,,,0.713596775,0.104739451,0.181663775,,,0,,2,,0,1,0,,0,-1.532873746,0,1.532873746,,0,-2.256279432,0,2.256279432
0.590728099,0.157241894,0.252030007,,,0.403481742,0.140751335,0.455766923,,,1,,1,,1,0,0,,-0.526399437,0,0,0.526399437,,-0.907624041,0,0,0.907624041
0.504784528,0.251944031,0.243271441,,,0.521057662,0.13793185,0.341010488,,,0,,2,,0,1,0,,0,-1.378548315,0,1.378548315,,0,-1.980995556,0,1.980995556
0.211296893,0.202328133,0.586374973,,,0.158520159,0.098498171,0.74298167,,,-1,,3,,0,0,1,,0,0,-0.533795808,0.533795808,,0,0,-0.297083905,0.297083905
0.600546899,0.242755636,0.156697465,,,0.488435069,0.133669106,0.377895824,,,1,,1,,1,0,0,,-0.509914541,0,0,0.509914541,,-0.716548735,0,0,0.716548735
0.017188392,0.123272727,0.85953888,,,0.125222999,0.085331394,0.789445607,,,-1,,3,,0,0,1,,0,0,-0.15135922,0.15135922,,0,0,-0.236424343,0.236424343
0.284798419,0.240773757,0.474427824,,,0.366733648,0.134813381,0.49845297,,,1,,1,,1,0,0,,-1.255973651,0,0,1.255973651,,-1.003119449,0,0,1.003119449
0.041485927,0.090349845,0.868164228,,,0.028663414,0.032305765,0.939030821,,,-1,,3,,0,0,1,,0,0,-0.141374379,0.141374379,,0,0,-0.062906977,0.062906977
0.564734868,0.226489216,0.208775916,,,0.295606742,0.126358453,0.578034806,,,-1,,3,,0,0,1,,0,0,-1.566493774,1.566493774,,0,0,-0.548121194,0.548121194
0.254430667,0.233451279,0.512118055,,,0.1796209,0.105012927,0.715366172,,,1,,1,,1,0,0,,-1.368726908,0,0,1.368726908,,-1.71690676,0,0,1.71690676
0.455239707,0.325454837,0.219305456,,,0.661071094,0.117165609,0.221763297,,,1,,1,,1,0,0,,-0.78693117,0,0,0.78693117,,-0.41389389,0,0,0.41389389
0.43630066,0.221219191,0.342480149,,,0.580930017,0.126800947,0.292269036,,,1,,1,,1,0,0,,-0.829423686,0,0,0.829423686,,-0.543124982,0,0,0.543124982
0.47537376,0.218612774,0.306013466,,,0.753163531,0.095137465,0.151699004,,,1,,1,,1,0,0,,-0.743653921,0,0,0.743653921,,-0.283472902,0,0,0.283472902
0.384903256,0.255773739,0.359323005,,,0.3043615,0.127389084,0.568249416,,,-1,,3,,0,0,1,,0,0,-1.02353356,1.02353356,,0,0,-0.565194844,0.565194844
0.150921989,0.193319908,0.655758103,,,0.144032521,0.093373665,0.762593814,,,-1,,3,,0,0,1,,0,0,-0.421963303,0.421963303,,0,0,-0.271029743,0.271029743
0.593337106,0.231699939,0.174962954,,,0.688491,0.109366629,0.202142371,,,1,,1,,1,0,0,,-0.521992566,0,0,0.521992566,,-0.373253033,0,0,0.373253033
0.673077171,0.182177028,0.144745801,,,0.613610181,0.123292907,0.263096912,,,1,,1,,1,0,0,,-0.395895289,0,0,0.395895289,,-0.488395437,0,0,0.488395437
0.612061044,0.203249766,0.184689191,,,0.603528046,0.123787918,0.272684037,,,1,,1,,1,0,0,,-0.490923256,0,0,0.490923256,,-0.504962767,0,0,0.504962767
0.393782926,0.238799489,0.367417586,,,0.392686865,0.135382476,0.471930659,,,1,,1,,1,0,0,,-0.931955471,0,0,0.931955471,,-0.934742766,0,0,0.934742766
0.650931653,0.175767594,0.173300753,,,0.837361026,0.072920979,0.089717995,,,1,,1,,1,0,0,,-0.42935063,0,0,0.42935063,,-0.177499968,0,0,0.177499968
0.698595603,0.209084281,0.092320116,,,0.684765043,0.109944414,0.205290544,,,1,,1,,1,0,0,,-0.358683241,0,0,0.358683241,,-0.378679502,0,0,0.378679502
0.861605679,0.094750216,0.043644105,,,0.99841954,0.001295737,0.000284723,,,1,,1,,1,0,0,,-0.148957562,0,0,0.148957562,,-0.00158171,0,0,0.00158171
3.92995E-12,0.159653212,0.840346788,,,0.285116536,0.12528788,0.589595584,,,-1,,3,,0,0,1,,0,0,-0.173940629,0.173940629,,0,0,-0.528318428,0.528318428
0.672017102,0.160675923,0.167306975,,,0.786816185,0.087559105,0.12562471,,,-1,,3,,0,0,1,,0,0,-1.78792498,1.78792498,,0,0,-2.074456309,2.074456309
0.180727286,0.274386954,0.54488576,,,0.32018648,0.130564178,0.549249342,,,-1,,3,,0,0,1,,0,0,-0.607179121,0.607179121,,0,0,-0.599202766,0.599202766
0.454797008,0.395077007,0.150125985,,,0.583155408,0.133946056,0.282898536,,,-1,,3,,0,0,1,,0,0,-1.896280437,1.896280437,,0,0,-1.262666976,1.262666976
0.322811345,0.205087426,0.47210123,,,0.519485868,0.131909444,0.348604688,,,1,,1,,1,0,0,,-1.130687198,0,0,1.130687198,,-0.654915672,0,0,0.654915672
0.603677941,0.196652114,0.199669944,,,0.807904402,0.079863441,0.112232157,,,1,,1,,1,0,0,,-0.504714434,0,0,0.504714434,,-0.213311542,0,0,0.213311542
0.47218347,0.305250267,0.222566263,,,0.559476627,0.137065558,0.303457815,,,-1,,3,,0,0,1,,0,0,-1.50253041,1.50253041,,0,0,-1.192512673,1.192512673
0.756442073,0.171067234,0.072490693,,,0.8059074,0.080411152,0.113681448,,,1,,1,,1,0,0,,-0.279129321,0,0,0.279129321,,-0.215786431,0,0,0.215786431
0.367445125,0.207759804,0.424795071,,,0.387796126,0.138811244,0.47339263,,,-1,,3,,0,0,1,,0,0,-0.856148412,0.856148412,,0,0,-0.74783015,0.74783015
0.369251269,0.220378478,0.410370253,,,0.447924808,0.138879223,0.413195969,,,1,,1,,1,0,0,,-0.996277921,0,0,0.996277921,,-0.8031299,0,0,0.8031299
0.176704363,0.201378834,0.621916803,,,0.220466966,0.113296821,0.666236213,,,1,,1,,1,0,0,,-1.733277208,0,0,1.733277208,,-1.512007409,0,0,1.512007409
0.234371865,0.258115645,0.50751249,,,0.554017956,0.128875446,0.317106598,,,1,,1,,1,0,0,,-1.450846258,0,0,1.450846258,,-0.590558181,0,0,0.590558181
0.451124676,0.208574312,0.340301011,,,0.759882911,0.095798526,0.144318563,,,1,,1,,1,0,0,,-0.796011534,0,0,0.796011534,,-0.274590922,0,0,0.274590922
0.059662975,0.170511626,0.769825399,,,0.035934984,0.039516018,0.924548999,,,-1,,3,,0,0,1,,0,0,-0.261591544,0.261591544,,0,0,-0.078449229,0.078449229
0.567136351,0.251048143,0.181815506,,,0.701062254,0.107413233,0.191524514,,,1,,1,,1,0,0,,-0.567155526,0,0,0.567155526,,-0.355158588,0,0,0.355158588
0.272840165,0.203453714,0.523706122,,,0.332415438,0.13070041,0.536884152,,,-1,,3,,0,0,1,,0,0,-0.646824588,0.646824588,,0,0,-0.62197294,0.62197294
0.52539647,0.219774938,0.254828592,,,0.601095824,0.126907642,0.271996535,,,-1,,3,,0,0,1,,0,0,-1.367164148,1.367164148,,0,0,-1.301965952,1.301965952
0.674213539,0.162444558,0.163341903,,,0.829639946,0.073210667,0.097149387,,,1,,1,,1,0,0,,-0.394208395,0,0,0.394208395,,-0.186763472,0,0,0.186763472
0.67609621,0.164598924,0.159304866,,,0.654922696,0.115335501,0.229741804,,,-1,,3,,0,0,1,,0,0,-1.836935516,1.836935516,,0,0,-1.470799192,1.470799192
0.260259034,0.287787144,0.451953822,,,0.447475477,0.13468868,0.417835844,,,-1,,3,,0,0,1,,0,0,-0.794175268,0.794175268,,0,0,-0.872666641,0.872666641
0.391397861,0.249730736,0.358871403,,,0.351835791,0.132211825,0.515952383,,,0,,2,,0,1,0,,0,-1.387371998,0,1.387371998,,0,-2.023349908,0,2.023349908
0.409729441,0.264798733,0.325471825,,,0.739286378,0.101899797,0.158813825,,,0,,2,,0,1,0,,0,-1.32878524,0,1.32878524,,0,-2.283765331,0,2.283765331
0.580809969,0.293559141,0.12563089,,,0.405354321,0.136776609,0.457869069,,,1,,1,,1,0,0,,-0.543331651,0,0,0.543331651,,-0.902993728,0,0,0.902993728
0.463042807,0.220078031,0.316879161,,,0.441750247,0.135191134,0.423058619,,,1,,1,,1,0,0,,-0.769935773,0,0,0.769935773,,-0.817010609,0,0,0.817010609
0.695715294,0.179277201,0.125007505,,,0.674854376,0.111741783,0.213403841,,,-1,,3,,0,0,1,,0,0,-2.079381503,2.079381503,,0,0,-1.544568941,1.544568941
0.043831359,0.178765315,0.777403326,,,0.045664446,0.04728714,0.907048414,,,-1,,3,,0,0,1,,0,0,-0.251795982,0.251795982,,0,0,-0.097559452,0.097559452
0.798445919,0.117339193,0.084214888,,,0.903963795,0.048552324,0.047483881,,,0,,2,,0,1,0,,0,-2.142686453,0,2.142686453,,0,-3.025113217,0,3.025113217
0.546817865,0.236256099,0.216926036,,,0.358165546,0.133073636,0.508760817,,,0,,2,,0,1,0,,0,-1.442838897,0,1.442838897,,0,-2.01685265,0,2.01685265
0.630531203,0.177220714,0.192248083,,,0.874857338,0.05933873,0.065803931,,,1,,1,,1,0,0,,-0.461192636,0,0,0.461192636,,-0.133694448,0,0,0.133694448
0.244977217,0.2135808,0.541441983,,,0.537749707,0.130423085,0.331827208,,,1,,1,,1,0,0,,-1.406590065,0,0,1.406590065,,-0.620362056,0,0,0.620362056
0.150652647,0.152456666,0.696890688,,,0.223928235,0.117854953,0.658216812,,,-1,,3,,0,0,1,,0,0,-0.361126713,0.361126713,,0,0,-0.4182209,0.4182209
0.846435615,0.151552258,0.002012127,,,0.930891973,0.036408633,0.032699394,,,1,,1,,1,0,0,,-0.166721141,0,0,0.166721141,,-0.071612042,0,0,0.071612042
0.581280443,0.198687435,0.220032123,,,0.821524765,0.075739467,0.102735768,,,-1,,3,,0,0,1,,0,0,-1.51398173,1.51398173,,0,0,-2.275594946,2.275594946
0.232649623,0.311035774,0.456314603,,,0.292741905,0.130351656,0.576906439,,,0,,2,,0,1,0,,0,-1.167847344,0,1.167847344,,0,-2.037519434,0,2.037519434
0.352199037,0.217479269,0.430321694,,,0.56978443,0.127297376,0.302918194,,,1,,1,,1,0,0,,-1.043558817,0,0,1.043558817,,-0.562497183,0,0,0.562497183
0.237006714,0.216839447,0.546153839,,,0.601357916,0.12370818,0.274933904,,,0,,2,,0,1,0,,0,-1.528598075,0,1.528598075,,0,-2.089829874,0,2.089829874
0.378858825,0.279929898,0.341211277,,,0.306011708,0.131231357,0.562756935,,,-1,,3,,0,0,1,,0,0,-1.075253413,1.075253413,,0,0,-0.574907476,0.574907476
0.431028799,0.284581666,0.284389535,,,0.287011935,0.141321096,0.571666969,,,0,,2,,0,1,0,,0,-1.256735016,0,1.256735016,,0,-1.956720701,0,1.956720701
0.314213167,0.19485434,0.490932494,,,0.463704056,0.134468275,0.401827669,,,1,,1,,1,0,0,,-1.157683648,0,0,1.157683648,,-0.768508741,0,0,0.768508741
0.051122332,0.090245833,0.858631835,,,0.005238986,0.010359011,0.984402003,,,-1,,3,,0,0,1,,0,0,-0.152415046,0.152415046,,0,0,-0.015720926,0.015720926
0.290229393,0.191373172,0.518397435,,,0.514831406,0.135860705,0.349307889,,,0,,2,,0,1,0,,0,-1.653529977,0,1.653529977,,0,-1.996125146,0,1.996125146
0.669118449,0.182675411,0.14820614,,,0.943243433,0.033323536,0.023433031,,,1,,1,,1,0,0,,-0.401794181,0,0,0.401794181,,-0.058430882,0,0,0.058430882
0.32726229,0.196491738,0.476245972,,,0.314599469,0.128564064,0.556836467,,,1,,1,,1,0,0,,-1.11699332,0,0,1.11699332,,-1.156454976,0,0,1.156454976
0.616231779,0.216139163,0.167629058,,,0.335105123,0.13362371,0.531271168,,,1,,1,,1,0,0,,-0.484132122,0,0,0.484132122,,-1.093310996,0,0,1.093310996
0.62549824,0.209336953,0.165164807,,,0.82025901,0.076717913,0.103023078,,,1,,1,,1,0,0,,-0.469206763,0,0,0.469206763,,-0.198135123,0,0,0.198135123
0.361930349,0.288546363,0.349523289,,,0.344282735,0.134526924,0.52119034,,,-1,,3,,0,0,1,,0,0,-1.051185084,1.051185084,,0,0,-0.651639968,0.651639968
0.038874594,0.278952763,0.682172643,,,0.152749273,0.103891255,0.743359471,,,-1,,3,,0,0,1,,0,0,-0.382472511,0.382472511,,0,0,-0.296575541,0.296575541
0.624969086,0.203200257,0.171830657,,,0.740503298,0.097909885,0.161586818,,,1,,1,,1,0,0,,-0.470053093,0,0,0.470053093,,-0.300425192,0,0,0.300425192
0.252959724,0.232582629,0.514457646,,,0.220882164,0.115105053,0.664012783,,,0,,2,,0,1,0,,0,-1.458509724,0,1.458509724,,0,-2.161910063,0,2.161910063
0.663414006,0.150484423,0.186101571,,,0.668758182,0.112981776,0.218260042,,,0,,2,,0,1,0,,0,-1.893895702,0,1.893895702,,0,-2.180528748,0,2.180528748
0.752756336,0.148805486,0.098438178,,,0.960015333,0.023376471,0.016608196,,,1,,1,,1,0,0,,-0.284013695,0,0,0.284013695,,-0.040806023,0,0,0.040806023
0.112275572,0.143767699,0.74395673,,,0.008768106,0.015655704,0.97557619,,,-1,,3,,0,0,1,,0,0,-0.295772404,0.295772404,,0,0,-0.024727018,0.024727018
0.141647269,0.129881713,0.728471018,,,0.255715757,0.120268981,0.624015262,,,-1,,3,,0,0,1,,0,0,-0.316807437,0.316807437,,0,0,-0.471580453,0.471580453
0.272233411,0.266475221,0.461291368,,,0.43464578,0.135119104,0.430235116,,,1,,1,,1,0,0,,-1.301095452,0,0,1.301095452,,-0.833223878,0,0,0.833223878
0.181915741,0.272239369,0.54584489,,,0.296544713,0.127599207,0.57585608,,,-1,,3,,0,0,1,,0,0,-0.605420428,0.605420428,,0,0,-0.551897511,0.551897511
0.285457009,0.229601644,0.484941347,,,0.424210813,0.135430106,0.44035908,,,0,,2,,0,1,0,,0,-1.471409454,0,1.471409454,,0,-1.999299595,0,1.999299595
0.757227788,0.211252977,0.031519235,,,0.686290447,0.11167621,0.202033344,,,1,,1,,1,0,0,,-0.278091162,0,0,0.278091162,,-0.376454349,0,0,0.376454349
0.588124114,0.187866458,0.224009428,,,0.8370055,0.070890176,0.092104324,,,-1,,3,,0,0,1,,0,0,-1.496067139,1.496067139,,0,0,-2.384833388,2.384833388
0.406732769,0.272882304,0.320384927,,,0.701093032,0.107291149,0.191615819,,,0,,2,,0,1,0,,0,-1.298714698,0,1.298714698,,0,-2.232209121,0,2.232209121
0.547828902,0.219183642,0.232987455,,,0.501239635,0.133786021,0.364974344,,,0,,2,,0,1,0,,0,-1.517845353,0,1.517845353,,0,-2.011513614,0,2.011513614
0.375505971,0.259060131,0.365433897,,,0.500531975,0.132964888,0.366503136,,,-1,,3,,0,0,1,,0,0,-1.006669873,1.006669873,,0,0,-1.003748201,1.003748201
