home,away,home_goal,away_goal
Manchester United,Leicester City,7,5
Newcastle United,Tottenham Hotspur,3,6
AFC Bournemouth,Cardiff City,5,2
Fulham,Crystal Palace,7,11
Huddersfield Town,Chelsea,2,5
Watford,Brighton & Hove Albion,6,0
Wolverhampton Wanderers,Everton,5,6
Liverpool,West Ham United,9,3
Southampton,Burnley,4,7
Arsenal,Manchester City,4,9
Cardiff City,Newcastle United,2,7
Everton,Southampton,8,5
Leicester City,Wolverhampton Wanderers,3,4
Tottenham Hotspur,Fulham,12,4
West Ham United,AFC Bournemouth,6,6
Chelsea,Arsenal,12,7
Burnley,Watford,4,7
Manchester City,Huddersfield Town,15,2
Brighton & Hove Albion,Manchester United,4,4
Crystal Palace,Liverpool,3,7
Wolverhampton Wanderers,Manchester City,3,7
AFC Bournemouth,Everton,6,4
Arsenal,West Ham United,11,6
Huddersfield Town,Cardiff City,2,5
Southampton,Leicester City,6,6
Liverpool,Brighton & Hove Albion,9,3
Watford,Crystal Palace,6,4
Fulham,Burnley,13,3
Newcastle United,Chelsea,3,4
Manchester United,Tottenham Hotspur,6,6
Leicester City,Liverpool,6,5
Brighton & Hove Albion,Fulham,6,6
Chelsea,AFC Bournemouth,7,2
Crystal Palace,Southampton,7,7
Everton,Huddersfield Town,2,7
West Ham United,Wolverhampton Wanderers,4,7
Manchester City,Newcastle United,9,3
Cardiff City,Arsenal,4,12
Burnley,Manchester United,3,10
Watford,Tottenham Hotspur,4,3
Tottenham Hotspur,Liverpool,4,11
AFC Bournemouth,Leicester City,6,9
Chelsea,Cardiff City,8,3
Huddersfield Town,Crystal Palace,3,3
Manchester City,Fulham,10,4
Newcastle United,Arsenal,3,3
Watford,Manchester United,6,7
Wolverhampton Wanderers,Burnley,8,3
Everton,West Ham United,5,5
Southampton,Brighton & Hove Albion,6,5
Fulham,Watford,4,7
Burnley,AFC Bournemouth,6,6
Cardiff City,Manchester City,3,11
Crystal Palace,Newcastle United,5,4
Leicester City,Huddersfield Town,9,3
Liverpool,Southampton,5,2
Manchester United,Wolverhampton Wanderers,7,9
Brighton & Hove Albion,Tottenham Hotspur,5,8
West Ham United,Chelsea,2,7
Arsenal,Everton,6,7
West Ham United,Manchester United,4,5
Arsenal,Watford,3,6
Everton,Fulham,7,0
Huddersfield Town,Tottenham Hotspur,6,7
Manchester City,Brighton & Hove Albion,9,2
Newcastle United,Leicester City,2,6
Wolverhampton Wanderers,Southampton,7,7
Chelsea,Liverpool,5,7
Cardiff City,Burnley,6,3
AFC Bournemouth,Crystal Palace,6,3
Brighton & Hove Albion,West Ham United,5,5
Burnley,Huddersfield Town,4,3
Crystal Palace,Wolverhampton Wanderers,5,3
Leicester City,Everton,3,9
Tottenham Hotspur,Cardiff City,8,7
Watford,AFC Bournemouth,3,8
Manchester United,Newcastle United,11,9
Fulham,Arsenal,5,8
Southampton,Chelsea,7,7
Liverpool,Manchester City,3,3
Chelsea,Manchester United,7,5
AFC Bournemouth,Southampton,3,5
Cardiff City,Fulham,6,5
Manchester City,Burnley,11,0
Newcastle United,Brighton & Hove Albion,7,3
West Ham United,Tottenham Hotspur,5,3
Wolverhampton Wanderers,Watford,2,4
Huddersfield Town,Liverpool,2,3
Everton,Crystal Palace,5,4
Arsenal,Leicester City,7,3
Brighton & Hove Albion,Wolverhampton Wanderers,2,8
Fulham,AFC Bournemouth,2,6
Liverpool,Cardiff City,8,2
Southampton,Newcastle United,5,0
Watford,Huddersfield Town,7,8
Leicester City,West Ham United,8,4
Burnley,Chelsea,2,9
Crystal Palace,Arsenal,4,3
Manchester United,Everton,11,7
Tottenham Hotspur,Manchester City,2,7
AFC Bournemouth,Manchester United,8,9
Cardiff City,Leicester City,3,6
Everton,Brighton & Hove Albion,4,4
Newcastle United,Watford,3,2
West Ham United,Burnley,11,4
Arsenal,Liverpool,5,5
Wolverhampton Wanderers,Tottenham Hotspur,8,9
Manchester City,Southampton,9,7
Chelsea,Crystal Palace,7,3
Huddersfield Town,Fulham,3,2
Cardiff City,Brighton & Hove Albion,7,4
Huddersfield Town,West Ham United,8,6
Leicester City,Burnley,6,2
Newcastle United,AFC Bournemouth,7,5
Southampton,Watford,5,7
Crystal Palace,Tottenham Hotspur,6,3
Liverpool,Fulham,8,4
Chelsea,Everton,5,2
Arsenal,Wolverhampton Wanderers,4,6
Manchester City,Manchester United,6,2
Brighton & Hove Albion,Leicester City,4,4
Everton,Cardiff City,9,2
Fulham,Southampton,6,9
Manchester United,Crystal Palace,6,3
Watford,Liverpool,2,8
West Ham United,Manchester City,2,7
Tottenham Hotspur,Chelsea,10,3
AFC Bournemouth,Arsenal,6,5
Wolverhampton Wanderers,Huddersfield Town,4,7
Burnley,Newcastle United,5,4
Cardiff City,Wolverhampton Wanderers,4,5
Crystal Palace,Burnley,10,0
Huddersfield Town,Brighton & Hove Albion,3,7
Leicester City,Watford,4,0
Manchester City,AFC Bournemouth,7,2
Newcastle United,West Ham United,5,5
Southampton,Manchester United,7,6
Chelsea,Fulham,10,5
Arsenal,Tottenham Hotspur,8,7
Liverpool,Everton,4,4
AFC Bournemouth,Huddersfield Town,3,7
Brighton & Hove Albion,Crystal Palace,4,6
West Ham United,Cardiff City,12,6
Watford,Manchester City,8,8
Burnley,Liverpool,7,13
Fulham,Leicester City,8,6
Wolverhampton Wanderers,Chelsea,3,4
Everton,Newcastle United,4,6
Manchester United,Arsenal,8,5
Tottenham Hotspur,Southampton,9,6
AFC Bournemouth,Liverpool,3,5
Arsenal,Huddersfield Town,3,0
Burnley,Brighton & Hove Albion,5,2
Cardiff City,Southampton,5,2
Manchester United,Fulham,12,5
West Ham United,Crystal Palace,7,5
Chelsea,Manchester City,6,5
Leicester City,Tottenham Hotspur,4,3
Newcastle United,Wolverhampton Wanderers,5,7
Everton,Watford,6,4
Manchester City,Everton,6,3
Crystal Palace,Leicester City,2,3
Huddersfield Town,Newcastle United,6,6
Tottenham Hotspur,Burnley,4,0
Watford,Cardiff City,9,4
Wolverhampton Wanderers,AFC Bournemouth,5,4
Fulham,West Ham United,5,4
Brighton & Hove Albion,Chelsea,3,4
Southampton,Arsenal,8,5
Liverpool,Manchester United,12,3
Wolverhampton Wanderers,Liverpool,6,7
Arsenal,Burnley,7,3
AFC Bournemouth,Brighton & Hove Albion,4,6
Chelsea,Leicester City,6,4
Huddersfield Town,Southampton,6,7
Manchester City,Crystal Palace,6,4
Newcastle United,Fulham,0,3
West Ham United,Watford,8,6
Cardiff City,Manchester United,4,10
Everton,Tottenham Hotspur,4,9
Fulham,Wolverhampton Wanderers,6,6
Burnley,Everton,5,7
Crystal Palace,Cardiff City,6,5
Leicester City,Manchester City,6,5
Liverpool,Newcastle United,9,3
Manchester United,Huddersfield Town,11,3
Tottenham Hotspur,AFC Bournemouth,8,5
Brighton & Hove Albion,Arsenal,4,5
Watford,Chelsea,3,5
Southampton,West Ham United,6,6
Brighton & Hove Albion,Everton,4,5
Fulham,Huddersfield Town,6,6
Leicester City,Cardiff City,8,4
Tottenham Hotspur,Wolverhampton Wanderers,4,5
Watford,Newcastle United,6,3
Liverpool,Arsenal,11,3
Crystal Palace,Chelsea,0,5
Burnley,West Ham United,6,5
Southampton,Manchester City,5,7
Manchester United,AFC Bournemouth,9,4
Everton,Leicester City,3,5
Arsenal,Fulham,10,5
Cardiff City,Tottenham Hotspur,4,5
Chelsea,Southampton,7,3
Huddersfield Town,Burnley,3,9
West Ham United,Brighton & Hove Albion,7,7
Wolverhampton Wanderers,Crystal Palace,2,5
AFC Bournemouth,Watford,13,4
Newcastle United,Manchester United,4,8
Manchester City,Liverpool,5,6
West Ham United,Arsenal,4,3
Brighton & Hove Albion,Liverpool,0,4
Burnley,Fulham,2,5
Cardiff City,Huddersfield Town,0,3
Crystal Palace,Watford,7,3
Leicester City,Southampton,7,4
Chelsea,Newcastle United,7,3
Everton,AFC Bournemouth,4,8
Tottenham Hotspur,Manchester United,12,9
Manchester City,Wolverhampton Wanderers,10,0
Wolverhampton Wanderers,Leicester City,8,7
AFC Bournemouth,West Ham United,5,2
Liverpool,Crystal Palace,10,4
Manchester United,Brighton & Hove Albion,6,4
Newcastle United,Cardiff City,7,2
Southampton,Everton,5,3
Watford,Burnley,5,4
Arsenal,Chelsea,6,2
Huddersfield Town,Manchester City,3,5
Fulham,Tottenham Hotspur,5,6
Arsenal,Cardiff City,5,3
Fulham,Brighton & Hove Albion,9,7
Huddersfield Town,Everton,3,6
Wolverhampton Wanderers,West Ham United,10,0
Manchester United,Burnley,10,5
Newcastle United,Manchester City,3,5
AFC Bournemouth,Chelsea,8,8
Southampton,Crystal Palace,5,4
Liverpool,Leicester City,4,3
Tottenham Hotspur,Watford,4,2
Tottenham Hotspur,Newcastle United,5,3
Brighton & Hove Albion,Watford,5,0
Burnley,Southampton,7,5
Chelsea,Huddersfield Town,8,3
Crystal Palace,Fulham,7,0
Everton,Wolverhampton Wanderers,5,5
Cardiff City,AFC Bournemouth,6,3
Leicester City,Manchester United,7,7
Manchester City,Arsenal,13,3
West Ham United,Liverpool,3,7
Everton,Manchester City,2,5
Fulham,Manchester United,4,8
Crystal Palace,West Ham United,6,5
Huddersfield Town,Arsenal,8,5
Liverpool,AFC Bournemouth,10,3
Southampton,Cardiff City,8,4
Watford,Everton,3,5
Brighton & Hove Albion,Burnley,7,6
Tottenham Hotspur,Leicester City,6,10
Manchester City,Chelsea,10,5
Wolverhampton Wanderers,Newcastle United,7,4
Cardiff City,Watford,7,8
West Ham United,Fulham,8,6
Burnley,Tottenham Hotspur,5,7
AFC Bournemouth,Wolverhampton Wanderers,4,3
Newcastle United,Huddersfield Town,13,0
Leicester City,Crystal Palace,6,6
Arsenal,Southampton,5,5
Manchester United,Liverpool,4,2
Cardiff City,Everton,0,5
Huddersfield Town,Wolverhampton Wanderers,4,0
Leicester City,Brighton & Hove Albion,4,4
Newcastle United,Burnley,4,3
Arsenal,AFC Bournemouth,8,6
Southampton,Fulham,5,5
Crystal Palace,Manchester United,3,5
Chelsea,Tottenham Hotspur,2,0
Liverpool,Watford,11,4
Manchester City,West Ham United,8,2
Tottenham Hotspur,Arsenal,4,5
AFC Bournemouth,Manchester City,0,8
Brighton & Hove Albion,Huddersfield Town,5,5
Burnley,Crystal Palace,5,5
Manchester United,Southampton,7,4
Wolverhampton Wanderers,Cardiff City,7,5
West Ham United,Newcastle United,5,3
Watford,Leicester City,6,3
Fulham,Chelsea,6,8
Everton,Liverpool,4,4
Crystal Palace,Brighton & Hove Albion,4,4
Cardiff City,West Ham United,8,3
Huddersfield Town,AFC Bournemouth,2,6
Leicester City,Fulham,9,4
Newcastle United,Everton,8,4
Southampton,Tottenham Hotspur,5,6
Manchester City,Watford,10,2
Liverpool,Burnley,6,3
Chelsea,Wolverhampton Wanderers,7,2
Arsenal,Manchester United,4,5
AFC Bournemouth,Newcastle United,4,5
Burnley,Leicester City,3,5
West Ham United,Huddersfield Town,6,6
Fulham,Liverpool,3,7
Everton,Chelsea,9,6
Fulham,Manchester City,0,8
Brighton & Hove Albion,Southampton,2,3
Burnley,Wolverhampton Wanderers,2,2
Crystal Palace,Huddersfield Town,6,6
Leicester City,AFC Bournemouth,5,3
Manchester United,Watford,6,9
West Ham United,Everton,2,10
Cardiff City,Chelsea,4,4
Liverpool,Tottenham Hotspur,4,3
Arsenal,Newcastle United,5,2
Watford,Fulham,8,8
Wolverhampton Wanderers,Manchester United,3,5
Chelsea,Brighton & Hove Albion,5,2
Tottenham Hotspur,Crystal Palace,11,2
Manchester City,Cardiff City,12,2
Southampton,Liverpool,2,6
AFC Bournemouth,Burnley,3,4
Huddersfield Town,Leicester City,5,10
Newcastle United,Crystal Palace,6,2
Everton,Arsenal,7,3
Chelsea,West Ham United,8,3
Leicester City,Newcastle United,6,6
Tottenham Hotspur,Huddersfield Town,6,2
Brighton & Hove Albion,AFC Bournemouth,2,8
Burnley,Cardiff City,8,3
Fulham,Everton,6,2
Southampton,Wolverhampton Wanderers,7,3
Manchester United,West Ham United,5,5
Crystal Palace,Manchester City,4,7
Liverpool,Chelsea,8,4
Watford,Arsenal,4,6
Brighton & Hove Albion,Cardiff City,3,4
Manchester City,Tottenham Hotspur,5,5
AFC Bournemouth,Fulham,6,6
Huddersfield Town,Watford,4,7
West Ham United,Leicester City,4,6
Wolverhampton Wanderers,Brighton & Hove Albion,6,0
Newcastle United,Southampton,7,4
Everton,Manchester United,9,2
Arsenal,Crystal Palace,6,8
Cardiff City,Liverpool,3,7
Chelsea,Burnley,10,4
Watford,Southampton,5,5
Tottenham Hotspur,Brighton & Hove Albion,6,2
Wolverhampton Wanderers,Arsenal,4,2
Manchester United,Manchester City,2,6
Liverpool,Huddersfield Town,8,2
Tottenham Hotspur,West Ham United,5,8
Crystal Palace,Everton,0,4
Fulham,Cardiff City,3,9
Southampton,AFC Bournemouth,8,6
Watford,Wolverhampton Wanderers,2,5
Brighton & Hove Albion,Newcastle United,3,2
Leicester City,Arsenal,13,2
Burnley,Manchester City,0,8
Manchester United,Chelsea,6,4
Everton,Burnley,7,2
AFC Bournemouth,Tottenham Hotspur,7,6
West Ham United,Southampton,7,2
Wolverhampton Wanderers,Fulham,7,3
Cardiff City,Crystal Palace,9,8
Newcastle United,Liverpool,8,5
Chelsea,Watford,10,4
Huddersfield Town,Manchester United,4,8
Arsenal,Brighton & Hove Albion,9,6
Manchester City,Leicester City,6,3
Brighton & Hove Albion,Manchester City,3,10
Burnley,Arsenal,6,7
Crystal Palace,AFC Bournemouth,9,9
Fulham,Newcastle United,3,7
Leicester City,Chelsea,4,5
Liverpool,Wolverhampton Wanderers,6,3
Manchester United,Cardiff City,11,5
Southampton,Huddersfield Town,4,4
Tottenham Hotspur,Everton,4,10
Watford,West Ham United,9,10
